Standort Name;Adresse
         Chengdu Henkel Adhesive Techonologies Co. Ltd.;   No.128 Long'an Road       Longquanyi District       Chengdu             610100       China
         Henkel Adhesive Technologies India Private Limited;   3rd Floor, Arunodayam, No. 14 & 16, Raman Street       North Boag Road       T. Nagar       Chennai               -                          600017Tamil Nadu       India
         Henkel Teroson India Private Limited;   Plot No. C-22, SIPOT Industrial Park       Irungattukottai, Sriperumbudur Taluk       Tamil Nadu       Chennai               -                          602105       India
         Yamahatsu (Thailand) Co., Ltd. (Beauty Care Manufacturing Plant);   600/48 Moo 11       Sukaphiban 8 Rd.       Nongkham, Sriracha       Chonburi             20230       Thailand
         Henkel (Thailand) Ltd. (Adhesive Technologies Manufacturing Plant);   700/349 M.6       Amata Nakorn Industrial Estate, Bangna-Trad KM.57        Nongmaidaeng, Muang       Chonburi              20000       Thailand
         Henkel Technologies (Korea) Ltd.;   1298, Daegeum-ro       Geumwang-eup, Eumseong-gun       Chungcheongbuk-do             (369-906)       Korea
         Henkel Technologies (Korea) Ltd.;   292, Seongnam-ro       Seongnam-myeon, Cheonan-si Dongnam-gu       Chungcheongnam-do             (330-891)       Korea
         Henkel Adhesive Technologies Vietnam Co. Ltd.;   No 7, Road 9A Bien Hoa II Industrial Zone       Bien Hoa City       Dong Nai Province       Vietnam
         Henkel Japan Ltd.;   810-0004       Fukuoka       Chuo-ku, Fukuoka       3-6-15 Watanabe-dori       2F NOF Tenjin Minami Building       Japan
         Schwarzkopf & Henkel K.K.;   810-0004       Fukuoka       Chuo-ku, Fukuoka       3-6-15 Watanabe-dori       2F NOF Tenjin Minami Building       Japan
         Henkel Adhesives Co. Ltd.;   Xiapeng District, Zone Dongxia, Shantou City       Guangdong Province             515065       China
         Henkel Adhesives Technologies (Guangdong) Co. Ltd.;   The fifth Industry Zone       Nanshan, Humen Town, Dongwan       Guangdong Province             523932       China
         Guangzhou National Adhesives Co. Ltd.;   No.33, Liye Road, Dongyong Town       Nansha District       Guangzhou             511453       China
         Guangzhou Henkel Surface Technologies Co. Ltd.;   No. 9 NanYun Er Road       GZ Science City, Guangzhou City       Guangzhou Province             510663       China
         Henkel Adhesive Technologies India Private Limited;   Centrum Plaza, 3rd Floor, No.312       HKLM, Golf Course Road, Sector 53       Haryana       Gurgaon               -                          122002       India
         Henkel Anand India Private Limited;   77, Industrial Development Colony       Mehrauli Gurgaon Road       Gurgaon                -                          122001Haryana       India
         Henkel Japan Ltd.;   732-0824       Hiroshima       Minami-ku       1-1-21, Matoba-cho       Crystal Tower Building 606       Japan
         Henkel Ablestik Japan Ltd.;   069-1507       Hokkaido       Kuriyama-cho, Yubari-gun       23-87 Asahi-dai       Japan
         Henkel Hong Kong Holding Ltd.;   9/F, No. 169 Electric Road       Hong Kong             510620       Hong Kong (China)
         Henkel (China) Co. Ltd.;   The fifteenth industrial area       Wuhan Development Zone, Wuhan City       Hubei Province             430056       China
         Henkel Japan Ltd.;   675-0011       Hyogo       Kakogawa       825, Kitano, Noguchi-cho       Japan
         PT Henkel Indonesia;   Talavera Office Park, 21st Floor       Jl. Letjen TB Simatupang Kav. 22-26       Jakarta             12430       Indonesia
         PT Henkel Indonesia;   Talavera Office Park, 21st Floor       Jl. Letjen TB Simatupang Kav. 22-26       Jakarta             12430       Indonesia
         Henkel Adhesive Technologies India Private Limited;   D3/D4, M.I.D.C. Industrial Estate       Distr. Pune, Maharashtra       Jejuri               -                          412300       India
         Henkel Huawei Electronics Co. Ltd.;   No. 8 Zhenhua Road, Songtiao Exploited Area       Lianyungang       222006             Jiangsu Province       China
         Henkel (Jiangsu) Auto Parts Co. Ltd.;   Qunyi Industry Zone, Xinqiao Town       Danyang City       Jiangsu Province             212322       China
         Changchun Henkel Surface Technologies Co. Ltd.;   No. 6077 Chao Da Road       Hi-tech District Changchun       Jilin Province             130012       China
         Henkel Ablestik Japan Ltd.;   235-0017       Kanagawa       Isogo-ku, Yokohama       27-7 Shin Isogo-cho       Japan
         Henkel Japan Ltd.;   235-0017       Kanagawa       Isogo-ku, Yokohama       27-7 Shin Isogo-cho       Japan
         Henkel Australia Pty. Ltd.;   135-141 Canterbury Road       3137             Kilsyth, VIC,       Australia
         Henkel (Malaysia) Sdn. Bhd.;   Level 46 Menara Telekom       Jalan Pantai Bahru       50672             Kuala Lumpur       Malaysia
         Henkel Industrial Adhesives Pakistan (Pvt.) Limited;   2nd Floor, 17-N       Johar Town       Lahore,       Pakistan
         Henkel Asia Pacific Service Centre;   31th Floor LKG Tower       6801 Ayala Ave       40251226             Makati City,       Philippines
         Henkel Adhesive Technologies India Private Limited;   Plot No.1/1, Part 2, TTC Industrial Area       Thane Belapur Road, Koparkhairrne       Maharashtra       Navi Mumbai               -                          400710       India
         Henkel Adhesive Technologies India Private Limited;   Kesar Solitaire, 10th Floor, Plot No. 5, Sector - 19       Palm Beach Road, Sanpada       Maharashtra       Navi Mumbai               -                          400705       India
         Henkel Chembond Surface Technologies Limited;   Chembond Centre       EL-71, MIDC Mahape       Maharashtra       Navi Mumbai               -                          400705       India
         Henkel Japan Ltd.;   562-8586       Osaka       Minoo       1-11-9, Semba-higashi       Japan
         Henkel Japan Ltd.;   550-0015       Osaka       Nishi-ku, Osaka       1-1-14 Minamihorie       2F Yotsubashi Nakano Building       Japan
         Schwarzkopf & Henkel K.K.;   550-0015       Osaka       Nishi-ku, Osaka       1-1-14 Minamihorie       2F Yotsubashi Nakano Building       Japan
         PT Henkel Adhesive Technologies (Adhesive Technologies Manufacturing Plant);   Jl. Rembang Industri Raya No. 26       Kawasan Pier        Jawa Timur         Pasuruan              67152       Indonesia
         PT Henkel Adhesive Technologies (Adhesive Technologies Manufacturing Plant);   Jl. Rembang Industri Raya No. 26       Kawasan Pier        Jawa Timur         Pasuruan              67152       Indonesia
         Henkel Adhesive Technologies India Private Limited;   234, 235 and 245, Phase 1       Hinjewadi, Taluka Mulshi       Maharashtra       Pune               -                          411057       India
         Henkel Adhesive Technologies India Private Limited;   Plot No. 71 & 72, Sector - 3, I.I.E Pantnagar, S.I.D.C.U.L.       Udham Singh Nagar       Uttarakhand       Rudrapur               -                          263153       India
         Henkel (Siam) Adhesive Technologies Ltd. (Adhesive Technologies Manufacturing Plant);   212 Moo1 Teparak Rd.       Amphur Bangsathong       Samutprakarn             10540       Thailand
         Henkel (Malaysia) Sdn. Bhd.;   Lot 8 & 10 Jalan Tukul       16/5 Shah Alam       40000             Selangor       Malaysia
         Bergquist Korea;   Dongil Techno Town #5303       202-6 Anyang 7 Dong       Manan-gu, Anyang-si       Gyeonggi-do         Seoul             (430-817)       Korea
         Henkel Home Care Korea Ltd.;   5/F Union Steel Building       412, Teheran-ro (Daechi-dong)       Gangnam-gu       Seoul             (135-524)       Korea
         Henkel Technologies (Korea) Ltd.;   6F, DaeRyung Techno Town II       33-33, Gasandigital 1-ro (Gasan-dong)       Geumcheon-gu       Seoul             (153-771)       Korea
         Henkel Loctite (China) Co. Ltd.;   No. 90 Zhu Jiang Road       Yantai Economic Technological Development Zone       Shandong Province             264006       China
         Henkel (China) Co. Ltd.;   188 Hangao Road, Zhuqiao Town       Nanhui District, Pu Dong       Shanghai             201324       China
         Henkel (China) Investment Co. Ltd.;   5F&6F, Building 6, The Springs Center       No.99 Jiang Wan Cheng Road       Yangpu District       Shanghai             200438       China
         Ablestik (Shanghai) Co. Ltd.;   No. 332 Meigui South Road       Waigaoqiao, Pu Dong       Shanghai             200131       China
