id,content,time,retweets,favorites
609438912919040000,"Looking forward to watch this movie #EntourageMovie  What about you? https://twitter.com/beatsbydrede/status/609344473718374401 …",12:15 - 12. Jun. 2015,248,913
608985026378780674,"Abflug nach Faro! #GIBGER #DieMannschaft @DFB_Team @Guendogan8  pic.twitter.com/SBiJXvSKFn",06:11 - 11. Jun. 2015,884,2.520
608951813044350977,"No victory yesterday- now we focus on #GIBGER - We want to win this last game of the season!!! @mannschaft @DFB_Team pic.twitter.com/vDLvFJHPZ1",04:00 - 11. Jun. 2015,508,1.562
608639644994011137,"Friendly match tonight in Cologne! #GERUSA @mannschaft @DFB_Team  Seid ihr dabei?? pic.twitter.com/9PU5BxeR2q",07:19 - 10. Jun. 2015,721,1.875
607824267066109953,"First holiday is over. Now focus on the national team games! @MustafiOfficial @DFB_Team #fun  pic.twitter.com/UrWY3fGUl2",01:19 - 8. Jun. 2015,803,2.119
606890524314894336,"Playing PES Club Manager! What about you? Like it!?! http://pes.konami.com/pescm  #PES2015  pic.twitter.com/DRsr8VlfbH",11:29 - 5. Jun. 2015,697,2.089
606192387820515328,"https://twitter.com/max_laumer/status/606179479216635904 …",13:15 - 3. Jun. 2015,172,837
606192222212657152,"Thanks  https://twitter.com/beatsbydre/status/606183703321022464 …",13:14 - 3. Jun. 2015,168,842
606132739784347649,"Danke!  https://twitter.com/goetze_fanpage_/status/606128317658505216 …",09:18 - 3. Jun. 2015,338,1.292
606035603537461248,"Blessed and thankful!! Thank you for your wishes!!  Great evening! pic.twitter.com/AVTB1CV4Ry",02:52 - 3. Jun. 2015,1.384,3.000
605487221299421184,"Gut gekämpft KSC! Es war so knapp! Kopf hoch Ray! @ReinholdYabo #KSCHSV Glückwunsch an den HSV! #Relegation2015 pic.twitter.com/dybU7eNfra",14:32 - 1. Jun. 2015,312,1.571
604965966079004672,"Relaxing part 1 and preparing for the national team matches...! #LoveIt #holiday #halfface  pic.twitter.com/CnlmYvlG9o",04:01 - 31. May. 2015,794,2.914
602170800054099968,"@JB17Official @FCBayern pic.twitter.com/kcIQmlz2SE",10:54 - 23. May. 2015,1.167,3.298
602163076390060032,"#MiaSanMeister @FCBayern @lewy_official pic.twitter.com/RsfSYWTO1x",10:23 - 23. May. 2015,2.311,4.808
602033920079753216,"Last game of the season! @AllianzArena_ @FCBayern  #MiaSanMia #MiaSanMeister pic.twitter.com/Yg5W92L8Q5",01:50 - 23. May. 2015,717,2.092
